State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate,Violent Crime,Property Crime,Violent Crime(Per 100k),Property Crime(Per 100k),Crime Rate(Per 100k)
IL,Chicago Police Department,41.830837,-87.62327,ILCPD0000,Chicago,2742119,459412,16.75,15948,90369,581.59,3295.59,3877.18
TX,Houston Police Department,29.75597,-95.36702,TXHPD0000,Houston,2293288,440369,19.2,25159,104246,1097.07,4545.7,5642.77
AZ,Phoenix Police Department,33.44825,-112.0817,AZ0072300,Phoenix,1591119,241238,15.16,13040,41432,819.55,2603.95,3423.5
TX,San Antonio Police Department,29.42295,-98.49757,TXSPD0000,San Antonio,1434540,249159,17.37,10354,80618,721.76,5619.78,6341.55
TX,Dallas Police Department,32.76778,-96.7956,TXDPD0000,Dallas,1300239,228269,17.56,8783,52738,675.49,4056.02,4731.51
CA,San Jose Police Department,37.220777,-121.690622,CA0431300,San Jose,1013337,77013,7.6,4865,19411,480.1,1915.55,2395.65
TX,Austin Police Department,30.268007,-97.735275,TX2270100,Austin,944658,115570,12.23,4894,32503,518.07,3440.72,3958.79
TX,Fort Worth Police Department,32.77204,-97.291291,TX2201200,Fort Worth,908469,119348,13.14,4772,25873,525.28,2847.98,3373.26
OH,Columbus Police Department,39.9643,-83.0046,OHCOP0000,Columbus,898143,160570,17.88,3501,24594,389.8,2738.32,3128.12
IN,Indianapolis Police Department,39.76786,-86.15264,INIPD0000,Indianapolis,880104,141489,16.08,9153,32445,1039.99,3686.5,4726.49
CA,San Francisco Police Department,37.775047,-122.40381,CA0380100,San Francisco,865933,87874,10.15,5560,45044,642.08,5201.79,5843.87
WA,Seattle Police Department,47.493554,-121.832375,WASPD0000,Seattle,726054,70824,9.75,5863,37928,807.52,5223.85,6031.37
CO,Denver Police Department,39.737377,-104.99167,CODPD0000,Denver,706799,80620,11.41,7279,41090,1029.85,5813.53,6843.39
TX,El Paso Police Department,31.75874,-106.48478,TX0710200,El Paso,676395,122719,18.14,2279,11052,336.93,1633.96,1970.89
OK,Oklahoma City Police Department,35.468613,-97.524315,OK0550600,Oklahoma City,673183,98848,14.68,4470,20683,664.01,3072.42,3736.43
MA,Boston Police Department,42.33196,-71.020173,MA0130100,Boston,672814,110995,16.5,4034,12526,599.57,1861.73,2461.3
OR,Portland Police Department,45.515236,-122.676056,OR0260200,Portland,647176,79615,12.3,4487,36983,693.32,5714.52,6407.84
MI,Detroit Police Department,42.33564,-83.04305,MI8234900,Detroit,645658,202311,31.33,12632,29612,1956.45,4586.33,6542.78
TN,Memphis Police Department,35.14924,-90.047455,TNMPD0000,Memphis,634139,149869,23.63,16136,53387,2544.55,8418.82,10963.37
MD,Baltimore City Sheriff's Office,39.23499,-76.61133,MD0040600,Baltimore City Sheriff's Office,592211,115748,19.55,0,0,0.0,0.0,0.0
MD,Baltimore Police Department,39.32253,-76.62148,MDBPD0000,Baltimore,592211,115748,19.55,8887,24319,1500.65,4106.48,5607.12
WI,Milwaukee Police Department,43.04385,-87.90265,WIMPD0000,Milwaukee,578198,135694,23.47,8050,15262,1392.26,2639.58,4031.84
NM,Albuquerque Police Department,35.089184,-106.65081,NM0010100,Albuquerque,562336,90345,16.07,7372,26365,1310.96,4688.48,5999.44
CA,Fresno Police Department,36.761006,-119.655019,CA0100500,Fresno,538678,121232,22.51,3972,16921,737.36,3141.21,3878.57
CA,Sacramento Police Department,38.520615,-121.49856,CA0340400,Sacramento,518605,75670,14.59,4237,15442,817.0,2977.6,3794.6
MO,North Kansas City Police Department,39.143047,-94.57261,MO0240700,North Kansas City,502597,74087,14.74,42,582,8.36,115.8,124.16
MO,Kansas City Police Department,39.100594,-94.57735,MOKPD0000,Kansas City,502597,74087,14.74,7535,25393,1499.21,5052.36,6551.57
GA,Atlanta Police Department,33.74819,-84.39517,GAAPD0000,Atlanta,492204,84756,17.22,3543,19517,719.82,3965.23,4685.05
NE,Omaha Police Department,41.297091,-96.154066,NB0280200,Omaha,488059,57642,11.81,829,8130,169.86,1665.78,1835.64
CA,Long Beach Police Department,34.196398,-118.261862,CA0194100,Long Beach,466565,70975,15.21,2783,13439,596.49,2880.41,3476.9
NC,Raleigh Police Department,35.789846,-78.650624,NC0920100,Raleigh,462219,53762,11.63,2551,12555,551.9,2716.24,3268.15
VA,Virginia Beach Police Department,36.7545,-76.05844,VA1280000,Virginia Beach,457658,34987,7.64,433,7548,94.61,1649.27,1743.88
FL,Miami Police Department,25.7779,-80.197876,FL0130600,Miami,440807,90654,20.57,2230,13366,505.89,3032.17,3538.06
CA,Oakland Police Department,37.79965,-122.27459,CA0010900,Oakland,437548,58518,13.37,15491,43201,3540.41,9873.43,13413.84
MN,Minneapolis Police Department,44.987347,-93.249756,MN0271100,Minneapolis,425091,69868,16.44,4791,22318,1127.05,5250.17,6377.22
OK,Tulsa Police Department,36.149185,-95.99595,OK0720500,Tulsa,410652,72724,17.71,3752,16229,913.67,3952.01,4865.68
KS,Wichita Police Department,37.692635,-97.33823,KS0870300,Wichita,394574,59249,15.02,4478,18809,1134.89,4766.91,5901.81
TX,Arlington Police Department,32.73912,-97.113525,TX2200100,Arlington,392304,54054,13.78,1924,10190,490.44,2597.48,3087.91
LA,New Orleans Police Department,29.960224,-90.09213,LANPD0000,New Orleans,383974,88675,23.09,4962,18536,1292.27,4827.41,6119.69
CO,Aurora Police Department,39.70955,-104.81493,CO0010100,Aurora,383496,38837,10.13,3783,14982,986.45,3906.69,4893.14
FL,Tampa Police Department,27.947796,-82.45798,FL0290200,Tampa,380476,63481,16.68,1860,6721,488.86,1766.47,2255.33
OH,Cleveland Police Department,41.53992,-81.62757,OHCLP0000,Cleveland,374861,114442,30.53,6100,17411,1627.27,4644.65,6271.92
CA,Anaheim Police Department,33.675687,-117.777207,CA0300100,Anaheim,348204,44908,12.9,2260,8465,649.04,2431.05,3080.09
KY,Lexington Police Department,38.045673,-84.496284,KY0340200,Lexington,321354,48501,15.09,812,8827,252.68,2746.82,2999.5
TX,Corpus Christi Police Department,27.793016,-97.394035,TX1780200,Corpus Christi,318168,52633,16.54,2716,10084,853.64,3169.39,4023.03
CA,Stockton Police Department,37.935034,-121.272237,CA0390500,Stockton,317818,50877,16.01,3717,10104,1169.54,3179.18,4348.72
CA,Santa Ana Police Department,33.675687,-117.777207,CA0301900,Santa Ana,313818,37979,12.1,1711,6186,545.22,1971.21,2516.43
NV,Henderson Police Department,36.03084,-114.98376,NV0020300,Henderson,311250,23697,7.61,991,6974,318.39,2240.64,2559.04
OH,Cincinnati Police Department,39.103947,-84.518715,OHCIP0000,Cincinnati,308664,73391,23.78,2258,13087,731.54,4239.89,4971.43
FL,Orlando Police Department,28.514435,-81.323295,FL0480400,Orlando,302968,46493,15.35,0,0,0.0,0.0,0.0
